Pool ID,Name,Total Bonded (AZERO),Reward Pool (AZERO),Nominated,Members,Status
51,ALEPH ZERO ITALIA | Lowest fees,26420.034,305.586,1,25,Open
52,🔥 FIRSTBLOCK | firstblock.io 🔥,72203.985,358.43,1,26,Open
53,Kryptstar Staking Pool,82680.743,3624.878,1,105,Open
54,Azerians Validator Pool,46276.939,2087.404,1,59,Open
55,AZERO.ID POOL,272260.906,7644.519,1,424,Open
56,Wolfgang Amadeus Mozart,13535.155,189.077,1,13,Open
57,32venture,5122,594.468,1,4,Open
58,LIONmountain,2615,19.457,1,2,Open
59,Chocolate,0,0,0,1,Destroyed
60,We the Best!,2230.104,83.407,1,2,Open
61,btn.group,0,0,0,1,Destroyed
62,Chocolate,17941.302,932.686,1,24,Open
63,Fair Node Pool,2000,6.579,1,1,Open
64,,0,0,0,1,Destroyed
65,Alpha Zero 🐺 | アケロ,0,0,0,1,Destroyed
66,SBG Pool,7634.325,490.673,1,10,Open
67,Honest & free,0,0,0,1,Destroyed
68,gatenox-pk,6518,0,0,2,Open
69,SwissTech,0,0,0,1,Destroyed
70,BLOCK54CAPITAL-POOL,11044.63,544.571,1,34,Open
71,JHD - StackingPool,3078.713,23.642,1,2,Open
72,Degens' Den,3209,303.266,1,2,Open
73,Baron_A0 Pool,2020,71.717,1,2,Open
74,Nova Wallet Pool #1 novawallet.io,2642955.267,35559.373,1,1840,Open
75,nightly.app,65186.818,923.718,1,71,Open
76,DRAGONVN,2014.898,180.853,1,2,Open
77,Coverlet | Lowest fees,0,0.587,0,1,Destroying
78,HOYO/Acheron Pool 5%,2030.175,135.823,1,1,Open
79,azero,2010,154.187,1,2,Open
80,FFL/Rydia Pool 5%,2162.479,144.77,1,3,Open
81,Kintsu OG Pool,4277.405,200.66,1,15,Open
82,SubWallet Official,805632.765,8287.47,1,318,Open
83,Aleph Zero Cow Pool,2000,0,0,1,Open
84,Abax Finance Pool,37288.274,562.849,1,149,Open
85,Come and get some stake ;),4067,219.399,1,2,Open
86,Weazero,2943.784,60.086,1,1,Open
87,IZICHANGE World Pool,0,0,0,1,Destroyed
88,⭐⭐⭐ BABY NODA ⭐⭐⭐,4854.004,65.094,1,7,Open
89,Burmese Spring,0,0,0,1,Destroyed
90,StakeNEST Pool | stakenest.io 🪹,2068.899,3.598,1,4,Open
91,Weazero2,2051,41.857,1,1,Open
92,AZERO LAB,0,0,0,1,Destroyed
93,AZERO VIETNAM POOL,0,0,0,1,Destroyed
94,Kvabitat,2237.668,8.032,0,1,Open
95,FASTSYSTEM LAB,2004,16.81,1,1,Open
96,Ashraf Pool,2148,9.635,1,2,Open
